iter	Passed	Remaining
0	1	1682
1	2	1207
2	3	1265
3	4	1240
4	6	1253
5	7	1281
6	9	1279
7	10	1282
8	11	1291
9	13	1296
10	14	1335
11	16	1327
12	17	1324
13	18	1320
14	20	1315
15	21	1306
16	22	1305
17	23	1297
18	24	1289
19	26	1286
20	27	1276
21	28	1277
22	30	1283
23	31	1278
24	32	1274
25	34	1277
26	35	1276
27	36	1276
28	38	1276
29	38	1253
30	39	1247
31	41	1248
32	42	1252
33	44	1254
34	45	1260
35	46	1258
36	48	1252
37	49	1248
38	50	1249
39	52	1250
40	53	1250
41	54	1249
42	56	1249
43	57	1248
44	58	1245
45	60	1245
46	61	1246
47	62	1242
48	63	1241
49	65	1238
50	66	1235
51	67	1234
52	68	1232
53	70	1229
54	71	1230
55	72	1228
56	74	1228
57	75	1229
58	77	1235
59	78	1232
60	79	1228
61	81	1225
62	82	1223
63	83	1221
64	84	1220
65	86	1219
66	87	1216
67	88	1215
68	90	1215
69	91	1214
70	92	1216
71	94	1213
72	95	1212
73	96	1209
74	97	1208
75	99	1207
76	100	1206
77	101	1204
78	103	1202
79	104	1200
80	105	1198
81	106	1197
82	108	1198
83	109	1195
84	110	1193
85	112	1192
86	113	1190
87	114	1189
88	116	1187
89	117	1185
90	118	1183
91	119	1180
92	120	1177
93	121	1174
94	122	1171
95	124	1171
96	125	1170
97	126	1168
98	128	1167
99	129	1167
100	131	1167
101	132	1166
102	133	1165
103	135	1164
104	136	1163
105	137	1161
106	139	1161
107	140	1160
108	141	1159
109	142	1156
110	144	1155
111	145	1154
112	146	1152
113	148	1150
114	149	1148
115	149	1142
116	151	1139
117	152	1137
118	153	1135
119	154	1133
120	156	1134
121	157	1133
122	158	1131
123	159	1129
124	161	1127
125	162	1126
126	163	1125
127	164	1123
128	166	1121
129	167	1121
130	168	1119
131	169	1117
132	171	1116
133	172	1116
134	174	1115
135	175	1113
136	176	1112
137	177	1111
138	179	1108
139	180	1107
140	181	1105
141	182	1103
142	183	1101
143	184	1099
144	186	1097
145	187	1098
146	188	1096
147	190	1094
148	191	1092
149	192	1092
150	194	1091
151	195	1089
152	196	1088
153	197	1087
154	199	1085
155	200	1084
156	201	1082
157	202	1081
158	204	1079
159	205	1077
160	206	1075
161	207	1073
162	208	1071
163	209	1069
164	210	1067
165	212	1065
166	213	1063
167	214	1060
168	215	1058
169	216	1056
170	217	1054
